primary,secondary
t-mobile,cell phone
at&t,wireless carrier
verizon,expensive
sprint ,contract
ting,no contract
metropcs,pricing 
mpcs,garbage
boost mobile,shit
u.s. cellular,gay
mint mobile,stupid
black wireless,retarded
wireless phone company,homo
repunlic,contract ending
virgin mobile,sim
tmus,tourist plan
vz,unlocked
tmobile,switch 
tmo,hate
mvno,pricey
airvoice,terrible
black wireless,wireless
boom mobile,cellular
campussims,mobile
consumer cellular,abroad
cricket wireless,overseas
easygo,international
good2go,switch
h2o wireless,new
data provider,old
wirless phone plan,outrageous
data service plan,fuck
puretalk usa,disgust
red pocket,digusted
unlimited talk and text,treatment
tracfone,poor
unlimited talk + text,elitist
